title,link,img_link,description
Серджо Скариоло: «Мы оптимистично настроены по поводу участия Хуана Эрнангомеса в Олимпиаде»,https://allbasketball.org/252469-serdzho-skariolo-my-optimistichno-nastroeny-po-povodu-uchastija-huana-jernangomesa-v-olimpiade.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626616935_juancho-hernangomez.png,"Главный тренер сборной Испании Серджо Скариоло заявил, что тяжелый форвард Хуан Эрнангомес имеет хорошие шансы на участие в Олимпийских играх в Токио."
Рич Пол и Адель встречаются. 5-й матч финала НБА – первое совместное появление влюбленных (Брайан Уиндхорст),https://allbasketball.org/252470-rich-pol-i-adel-vstrechajutsja-5-j-match-finala-nba-pervoe-sovmestnoe-pojavlenie-vljublennyh-brajan-uindhorst.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626616913_340cd099-1d4e-4f66-b3ad-dcf6d76e4184.jpg,"Агент и близкий друг Леброна Джеймса, основатель влиятельного агентства Klutch Sports Рич Пол находится в отношениях с обладательницей 15 премий «Грэмми», знаменитой певицей Адель."
Си Джей Макколлум: «Сколько голосов получит Миддлтон за MVP? Он играет на команду и закрывает матчи»,https://allbasketball.org/252471-si-dzhej-makkollum-skolko-golosov-poluchit-middlton-za-mvp-on-igraet-na-komandu-i-zakryvaet-matchi.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626617022_1203600445.jpeg,"Защитник «Портленда» Си Джей Макколлум выразил мнение, что форвард «Милуоки» Крис Миддлтон должен претендовать на MVP финала-2021 в случае итоговой победы клуба из Висконсина."
"Яннис эффектно накрыл Микэла Бриджеса, но судьи неверно определили голтендинг",https://allbasketball.org/252472-jannis-jeffektno-nakryl-mikjela-bridzhesa-no-sudi-neverno-opredelili-goltending.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626616999_giannis-antetokounmpo-dpoy.jpg,"В одном из эпизодов первой четверти 5-го матча финальной серии НБА между «Финиксом» и «Милуоки» (119:123, 2-3) судьи неверно зафиксировали нарушение правила «голтендинг» со стороны форварда гостей Янниса Адетокумбо."
"Корейские и бразильские комментаторы, Адель эмоционально отреагировали на перехват Холидэя и данк Янниса",https://allbasketball.org/252473-korejskie-i-brazilskie-kommentatory-adel-jemocionalno-otreagirovali-na-perehvat-holidjeja-i-dank-jannisa.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626617207_e6k1rsbwqaejseu.jpg,"Перехват защитника «Бакс» Дрю Холидэя и последующий аллей-уп на Янниса Адетокумбо в концовке 5-го матча финала НБА против «Санз» (123:119, 3-2) вызвал восхищение людей по всему миру, в том числе комментаторов на корейском и бразильском телевидении."
Сэм Кэсселл: «Пэйтон и Стрикленд – наиболее тяжелые соперники на позиции разыгрывающего в моей карьере»,https://allbasketball.org/252474-sjem-kjessell-pjejton-i-striklend-naibolee-tjazhelye-soperniki-na-pozicii-razygryvajuschego-v-moej-karere.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626617101_gettyimages-1124543141-1024x682.jpg,"Трехкратный чемпион НБА Сэм Кэсселл, выступавший в лиге с 1993 по 2008 годы, назвал разыгрывающих, против которых ему было сложнее всего играть."
"Яннис Адетокумбо: «Наверное, в отеле Танасис прыгал без майки на кровати, старался защищаться с нами»",https://allbasketball.org/252475-jannis-adetokumbo-navernoe-v-otele-tanasis-prygal-bez-majki-na-krovati-staralsja-zaschischatsja-s-nami.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628536_thanasis-antetokounmpo-giannis-antetokounmpo.jpg,"Звездный форвард «Милуоки» Яннис Адетокумбо после победы над «Финиксом» (123:119, 3-2) в 5-м матче финала НБА признался, что ему было непривычно играть без своего брата в составе."
"Шэннон Шарп: «Финал закончится во вторник. Не думаю, что «Санз» научатся лучше подбирать за 3 дня»",https://allbasketball.org/252476-shjennon-sharp-final-zakonchitsja-vo-vtornik-ne-dumaju-chto-sanz-nauchatsja-luchshe-podbirat-za-3-dnja.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628453_giannis-devin-booker-suns-bucks.jpg,"Ведущий программы Undisputed Шэннон Шарп после выездной победы «Милуоки» над «Финиксом» (123:119, 3-2) в 5-м матче финала НБА-2021 выразил уверенность в том, что клуб из Висконсина закроет серию уже во вторник."
"Стив Керр: «Уайзмен способен пойти по тому же пути, что и Эйтон»",https://allbasketball.org/252477-stiv-kerr-uajzmen-sposoben-pojti-po-tomu-zhe-puti-chto-i-jejton.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628415_james-wiseman-deandre-ayton.jpg,Главный тренер «Голден Стэйт» Стив Керр сравнил молодого центрового своей команды Джеймса Уайзмена с бигменом «Финикса» Деандре Эйтоном.
«Чикаго» вряд ли удастся подписать Кайла Лаури (Мэтт Мур),https://allbasketball.org/252478-chikago-vrjad-li-udastsja-podpisat-kajla-lauri-mjett-mur.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628758_nba-raptors-lowry-reacts-against-pelicans.jpg,"«Чикаго» желает этим летом приобрести плеймейкера, который мог бы выступать в паре со звездным защитником Заком Лавином."
"Яннис повторил достижение Шака, забив как минимум 50% бросков с игры в 13 матчах плей-офф подряд",https://allbasketball.org/252479-jannis-povtoril-dostizhenie-shaka-zabiv-kak-minimum-50-broskov-s-igry-v-13-matchah-plej-off-podrjad.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628787_shaquille-o_neal-says-giannis-antetokounmpo-is-nba_s-mvp.jpg,"В субботу в матче финальной серии против «Финикса» (123:119, 3-2) лидер «Милуоки» Яннис Адетокумбо набрал 32 очка, реализовав 61% бросков с игры (14 из 23)."
«Юта» хочет обменять Деррика Фэйворса (Мэтт Мур),https://allbasketball.org/252480-juta-hochet-obmenjat-derrika-fjejvorsa-mjett-mur.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628765_rrcoxy5mdvdibi2oic2q2xh2wu.jpg,"«Юта» может расстаться этим летом с тяжелым форвардом Дерриком Фэйворсом (206 см, 30 лет)."
Клэй Томпсон: «Больше не буду играть в домино с Грином. Он жулик»,https://allbasketball.org/252481-kljej-tompson-bolshe-ne-budu-igrat-v-domino-s-grinom-on-zhulik.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626628770_draymond-green-shares-funny-klay-thompson-story.jpg,"Защитник «Голден Стэйт» Клэй Томпсон во время трансляции в инстаграме признался, что считает своего партнера по команде Дрэймонда Грина нечестным игроком в домино, при этом Клэй отметил свою любовь к шахматам."
